objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,Collection ,publisher-digital,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
ARBITRATION_OVER_A_PARALLEL_RO- 1911,ARBITRATION_OVER_A_PARALLEL_RO- 1911.pdf,,ARBITRATION OVER A PARALLEL ROAD: EXPROPRIATION BY NORTH TORONTO OF MOUNT PLEASANT CEMETERY LAND,application/pdf,"The article highlights the arbitration between P. H. Drayton, K.C and Mr. C. H. Ritchie, K.C, solicitor for the Cemetery Trust. Provides insight into community involvment in the creation of the road and opinions of the mayor of Toronto A. J. Brown. ",The Globe,,25-Mar-05,,Newspaper ,History; Mount Pleasant Road ,,,,The Globe and Mail Archive ,ProQuest Historical Newspapers ,,1351284263,,In Copyright ,,Image;StillImage,eng,
Article-that-talks-about-the-beauty-of-Mount-Pleasant-Cemetery-1889,Article-that-talks-about-the-beauty-of-Mount-Pleasant-Cemetery-1889.pdf,,The City of the Dead: A Visit to Mount Pleasant Cemetery ,application/pdf,"The article was published on July 13, 1889 and gives insight and opinions on what a person will feel like well walking around the cemetery ",The Globe,,1889,,Newspaper ,History; Greenspace ,,,,Toronto Star Newspaper Archive ,ProQuest Historical Newspapers ,,1647935832,,In Copyright ,,Image;StillImage,eng,
Bikers in the Cemetery-,Bikers in the Cemetery-.jpg,,"Popular place: Mepham Garden, near the cemetery office, attracts cyclists, joggers and those seeking solitude",image/jpg,"Photograph is from a August 24, 1986 Toronto Star publication titled ""The cemetery designed for the living, Mount Pleasant offers visitors green space and a lesson in history"".","Bock, Tony ",,1986,,photographs,Nature; Greenspace ,"Toronto, Ontario ",,,Toronto Star Photography Archive ,Toronto Public Library: Digital Archive ,,TSPA_0110814F,,In Copyright ,https://www.torontopubliclibrary.ca/digital-archive/license.jsp ,Image;StillImage,eng,
Children-memorial-newspaper-article-1992,Children-memorial-newspaper-article-1992.pdf,,Garden's tale a flowering of the spirit ,application/pdf,,Toronto Daily Star,,1992,,Newspaper ,Newspaper; History ,,,,Toronto Star Newspaper Archive ,ProQuest Historical Newspapers ,,1356502704,,In Copyright ,,Image;StillImage,eng,
North_Toronto_Gets_Road_Throug-1912,North_Toronto_Gets_Road_Throug-1912.pdf,,"North Toronto Gets Road Through Cemetery: Construction, Now Long Delayed, Will Go on at Once",application/pdf,"Article is the announcement to the start of construction for the road. Highlights the cost of the road would be around $15,000 of which the town of North Toronto would pay $2000, well York township and General Burying Ground Trust (Mount Pleasant Group) would pay the rest.  ",The Globe,,26-Mar-05,,Newspaper ,History; Mount Pleasant Road ,,,,The Globe and Mail Archive,ProQuest Historical Newspapers ,,1351207170,,In Copyright ,,Image;StillImage,eng,
PC_4408-The-Pond-Mount-Pleasant-Cemeter-1912,PC_4408-The-Pond-Mount-Pleasant-Cemeter-1912.jpg,,"The Pond, Mount Pleasant Cemetery",image/jpg,"Colour postcard of a pond surrounded by trees. The caption on the top front states, ""The Pond, Mount Pleasant Cemetery, Toronto, Canada."" The back of the postcard has a hand-written note on it with postmark dated August 2, 1912.",Valentine & Sons ,,1912,yes,photographs,Nature; History ,"Toronto, Ontario ",,,Baldwin Collection of Canadiana,Toronto Public Library: Digital Archive,,PC_4408,,Public Domain,https://www.torontopubliclibrary.ca/digital-archive/license.jsp ,Image;StillImage,eng,
 PC_4411-Mount-Pleasant-Cemetery-Toronto-1903, PC_4411-Mount-Pleasant-Cemetery-Toronto-1903.jpg,,Mount Pleasant-Cemetery-Toronto ,image/jpg,"Black and white postcard of a funeral home or mausoleum surrounded by trees. The caption on the bottom front states, ""Mount Pleasant  - Cemetery - Toronto"" . A red ensign (with the British Union Jack) flag is printed in the top right corner. The back of the postcard has a hand-written note on it with postmark dated September 15, 1903.",Galbraith Photo Co.,,1903,yes,photographs,History,,,,Baldwin Collection of Canadiana,Toronto Public Library: Digital Archive,,PC_4411,,Public Domain ,https://www.torontopubliclibrary.ca/digital-archive/license.jsp ,Image;StillImage,eng,
Photo-1,Photo-1.png,,Sunday Resorts: Rambles on the Island and in the Parks. The Visitors to the Cemeteries ,image/png,"An article from the Globe and Mail from a June 26, 1882 publication. A section of it highlights the cemetery as a nice place to walk around on Sundays and it's natural beauty of it. ",The Globe,,1882,,photographs,History; Newspaper; Greenspace,"Toronto, Ontario ",,,The Globe and Mail Archive,ProQuest Historical Newspapers ,,1532110640,,In Copyright ,,Image;StillImage,eng,
Picture-of-Mount-Pleasant-Cemetery-1890,Picture-of-Mount-Pleasant-Cemetery-1890.jpg,,"Mount Pleasant Cemetery, Toronto, Ontario ",image/jpg,Black and white photo of the Pond in Mount Pleasant Cemetery ,Unknown,,1890s ,yes,photographs,Nature; History ,"Toronto, Ontairo ",,,Baldwin Collection of Canadiana,Toronto Public Library: Digital Archive ,,PICTURE=R-6797,,Public Domain ,https://www.torontopubliclibrary.ca/digital-archive/license.jsp,Image;StillImage,eng,
ROAD-THROUGH-CEMETERY-PEOPLE,ROAD-THROUGH-CEMETERY-PEOPLE.pdf,,"ROAD THROUGH CEMETERY: PEOPLE NORTH OF MOUNT PLEASANT ASKING FOR IT A Conference Was Held Yesterday Between the Different Parties Interested, but Nothing of a Definite Nature Resulted From it",application/pdf,"An article from the Globe and Mail from a June 9, 1908 publication. The article is about the people of Toronto who lived north of the cemetery as they requested to the Ontarian Legislature to build a public road through the cemetery. ",The Globe,,22-Mar-05,,Newspaper ,Mount Pleasant Road; History ,,,,The Globe and Mail Archive,ProQuest Historical Newspapers ,,1354964746,,In Copyright ,,Image;StillImage,eng,
